,LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Latitude,Longitude
57892,0002745249-0001-0,"O SAEK, INC.",,1882 W WASHINGTON BLVD,LOS ANGELES,90007-1152,1882 WASHINGTON 90007-1152,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,01/01/2013,,"(34.0399, -118.2998)",34.0399,-118.2998
58351,0002773716-0001-1,MIA CORPORATION,CAFE MILAN,205 CULVER BLVD,PLAYA DEL REY,90293-7792,205 CULVER 90293-7792,1108 E ACACIA AVENUE,EL SEGUNDO,90245-2601,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,09/01/2014,,"(33.9589, -118.4483)",33.9589,-118.4483
59100,0003381818-0001-2,BOBAPAKT LLC,LOOSE LEAF BOBA COMPANY,521 S OLIVE STREET,LOS ANGELES,90013-1006,521 Olive 90013-1006,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,07/05/2023,,"(34.0492, -118.2533)",34.0492,-118.2533
59408,0002880283-0001-1,BEANFIELDS PBC,,10401   VENICE BLVD   SUITE #106,LOS ANGELES,90034-7097,10401 VENICE 90034,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,01/01/2015,,"(34.0206, -118.4045)",34.0206,-118.4045
59518,0003248705-0001-7,GRAND GAS MART INC.,7-ELEVEN STORE 3946B | 7-ELEVEN STORE 39646B,504 W OLYMPIC BLVD,LOS ANGELES,90015-1410,504 OLYMPIC 90015-1410,POST OFFICE BOX #219088,DALLAS,75221-9088,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,02/08/2021,,"(34.043, -118.2611)",34.043,-118.2611
59657,0002864611-0004-1,SOTO & SANCHEZ LAX PARTNER JV,,380 WORLD WAY SPACE #M65,LOS ANGELES,90045-5800,380 WORLD 90045-5800,13701 CIMARRON AVENUE,GARDENA,90249-2463,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,06/21/2023,,"(33.9435, -118.4085)",33.9435,-118.4085
59926,0002690840-0001-8,KITCHEN MOUSE LLC,,5904 N FIGUEROA STREET,LOS ANGELES,90042-4230,5904 FIGUEROA 90042-4230,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,01/01/2013,,"(34.1105, -118.1909)",34.1105,-118.1909
60161,0002367161-0002-6,"HOJAS PREMIUM TEA HOUSE, LLC","HOJAS PREMIUM TEA, COFFEE & CAFE",222 W 6TH STREET,SAN PEDRO,90731-3316,222 6TH 90731-3316,1201 N AVALON BLVD SUITE #B,WILMINGTON,90744-2601,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",15,12/16/2014,,"(33.7387, -118.2818)",33.7387,-118.2818
60280,0003163683-0001-0,MARITZA RIVERA,NENA'S STREET CREPES,8908 S MAIN STREET,LOS ANGELES,90003-3719,8908 Main 90003-3719,8908 S MAIN STREET,LOS ANGELES,90003-3719,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",8,01/01/2020,,"(33.9553, -118.2736)",33.9553,-118.2736
60511,0000008207-0018-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #21800,5857 S CENTRAL AVENUE,LOS ANGELES,90001-1127,5857 CENTRAL 90001-1127,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,03/14/2014,,"(33.9882, -118.2564)",33.9882,-118.2564
61183,0003382560-0001-7,SCS WAFFLE INC,,6415 WILBUR AVENUE,RESEDA,91335-5973,6415 Wilbur 91335-5973,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,05/03/2023,,"(34.1869, -118.5448)",34.1869,-118.5448
61209,0002176753-0001-1,STEVEN CONAWAY,N E CONAWAY PEANUTS,5177 S WILTON PLACE,LOS ANGELES,90062-2114,5177 WILTON 90062-2114,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",8,10/01/2006,,"(33.9955, -118.315)",33.9955,-118.315
61354,0002605646-0001-8,JUAN/MARIA VELAZQUEZ,,232 E 55TH STREET,LOS ANGELES,90011-5124,232 55TH 90011-5124,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,01/01/2010,,"(33.9924, -118.2719)",33.9924,-118.2719
61866,0002859292-0001-7,MCS CONSOLIDATED GROUP INC,PEETS COFFEE TOPANGA VILLAGE,6250 TOPANGA CANYON BLVD SUITE #1593,WOODLAND HILLS,91367-2236,6250 TOPANGA CANYON 91367-2236,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,10/06/2015,,"(34.1838, -118.6058)",34.1838,-118.6058
62246,0003166502-0001-0,MEGAN FINLAY,SWEETS FOR THE SOUL,1305 S BEACON STREET,SAN PEDRO,90731-4327,1305 Beacon 90731-4327,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",15,12/10/2019,,"(33.7322, -118.2807)",33.7322,-118.2807
64584,0002494451-0001-1,CIRO AND REGINA MICELI,SPECIALTY RESTAURANT EQUIP AND COFFEE,5846 KESTER AVENUE,VAN NUYS,91411-3013,5846 KESTER 91411-3013,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,06/15/2009,,"(34.1765, -118.4574)",34.1765,-118.4574
64987,0003212366-0001-8,NATURE'S RARE LLC,,20058   VENTURA BLVD   UNIT #312,WOODLAND HILLS,91364-2637,20058 VENTURA 91364-2637,20058   VENTURA BLVD   UNIT #312,WOODLAND HILLS,91364-2637,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,10/18/2016,,"(34.171, -118.5705)",34.171,-118.5705
65120,0003145569-0001-3,UNEARTH POTIONS LLC,,14109 W SPRUCE LANE,VAN NUYS,91405-5487,14109 SPRUCE 91405,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,08/26/2019,,"(34.2004, -118.4485)",34.2004,-118.4485
65205,0002752303-0001-1,ANGEL M. MIRAMONTES,MIKE'S TEJUINO,6239 BEAR AVENUE,BELL,90201-1101,6239 BEAR 90201-1101,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,05/06/2014,,"(33.9814, -118.1969)",33.9814,-118.1969
65800,0003041090-0001-8,FARM CUP COFFEE LLC,,10250 CONSTELLATION BLVD SUITE #175,LOS ANGELES,90067-6216,10250 CONSTELLATION 90067-6216,10250 CONSTELLATION BLVD SUITE #175,LOS ANGELES,90067-6216,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,06/13/2017,,"(34.0571, -118.4174)",34.0571,-118.4174
65871,0003303531-0001-7,2ND ROUND LLC,PAUSE COFFEE,5870 MELROSE AVENUE    #6,LOS ANGELES,90038-3700,5870 MELROSE 90038-3700,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,03/15/2022,,"(34.0832, -118.3285)",34.0832,-118.3285
65886,0003213169-0001-2,MILLER BUTLER LLC,,386 W 15TH STREET   APT,SAN PEDRO,90731-4868,386 15TH 90731,386 W 15TH STREET   APT,SAN PEDRO,90731-4868,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",15,05/13/2020,,"(33.7308, -118.2856)",33.7308,-118.2856
67316,0002376311-0001-5,D & B FOODS INC,,9821 CALIFORNIA AVENUE,SOUTH GATE,90280-4611,9821 CALIFORNIA 90280-4611,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,12/22/1997,,"(33.945, -118.2074)",33.945,-118.2074
67372,0003249185-0001-4,ANTOJITOS CENTROAMERICANOS,,5821 S FIGUEROA STREET,LOS ANGELES,90003-1061,5821 FIGUEROA 90003,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,10/01/2020,,"(33.9888, -118.2831)",33.9888,-118.2831
67532,0002453886-0001-5,HEATHER HEE JUNG HWANG,CAFE 100,10100 SANTA MONICA BLVD UNIT #A105,CENTURY CITY,90067-4129,10100 SANTA MONICA 90067-4129,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,07/23/2009,,"(34.0622, -118.4166)",34.0622,-118.4166
67618,0003211630-0001-7,BAD OBSESSION INC.,LITTLE DAMAGE,700 S SPRING STREET,LOS ANGELES,90014-2906,700 Spring 90014-2906,7190 W SUNSET BLVD SUITE #57A,LOS ANGELES,90046-4415,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,09/01/2020,,"(34.0442, -118.2522)",34.0442,-118.2522
68014,0002605553-0001-0,HEPPS SPICE CO,,1908   MATHEWS AVENUE   #3,REDONDO BEACH,90278-2946,1908 MATHEWS 90278-2946,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/01/2011,,"(33.8735, -118.3792)",33.8735,-118.3792
68532,0003381897-0001-7,SAMUEL CAMARILLO VELEZ & KAREN VIANNEY HERRERA-LOZADA,LA FAMOSA BIRRERIA AZTECA,626 LEAGUE AVENUE,LA PUENTE,91744-2446,626 League 91744-2446,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,07/05/2023,,"(34.0434, -117.9704)",34.0434,-117.9704
68585,0003212584-0001-2,SUGARFINA USA LLC,,6600 TOPANGA CYN    #2070,CANOGA PARK,91303-2692,6600 TOPANGA CYN 91303-2692,1700 E WALNUT AVENUE FLOOR #5,EL SEGUNDO,90245-2610,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,09/22/2020,,"(34.1914, -118.6039)",34.1914,-118.6039
69585,0003381616-0001-7,ITSKD LLC,NACHO NACHO,231 E 12TH STREET,LOS ANGELES,90015-2532,231 12TH 90015-2532,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,07/15/2023,,"(34.0366, -118.2576)",34.0366,-118.2576
70116,0002332742-0001-9,OTONIEL SOLARES,YUM YUM DONUTS # 27J,6804 DE SOTO AVENUE,CANOGA PARK,91303-2210,6804 DE SOTO 91303-2210,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,04/09/2008,,"(34.1939, -118.5884)",34.1939,-118.5884
70145,0003164767-0001-6,RODAYA INC,,9774 VENA AVENUE,ARLETA,91331-4675,9774 Vena 91331-4675,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,06/04/2018,,"(34.2484, -118.4279)",34.2484,-118.4279
70466,0003282225-0001-5,OUT OF OFFICE ROASTERS,,500 N STATE COLLEGE BLVD SUITE #1100537,ORANGE,92868-1604,500 State College 92868-1604,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,11/11/2021,,"(33.7957, -117.8898)",33.7957,-117.8898
70471,0002601879-0001-0,LILIANA RODRIGUEZ,,2824 S WESTERN AVENUE,LOS ANGELES,90018-3032,2824 WESTERN 90018-3032,8824   ALDRICH STREET,PICO RIVERA,90660-3013,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",8,02/24/2012,,"(34.0297, -118.3089)",34.0297,-118.3089
70631,0002619523-0001-4,DOROTHY J HENDERSON,PAPA CRAIGS LOUISIANA FISH,15801 LEADWELL STREET,VAN NUYS,91406-3113,15801 LEADWELL 91406-3113,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,06/05/2012,,"(34.2039, -118.4771)",34.2039,-118.4771
70963,0003222212-0002-8,CRUMBLE PATISSERIE INC,,6201 HOLLYWOOD BLVD UNIT #120,LOS ANGELES,90028-5363,6201 HOLLYWOOD 90028-5363,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,11/20/2023,,"(34.1019, -118.3249)",34.1019,-118.3249
71010,0003043361-0001-1,RUBEN PAREDES / ALECCIO LEON,,4141   WHITSETT AVENUE,STUDIO CITY,91604-2424,4141 WHITSETT 91604-2424,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,04/14/2018,,"(34.1458, -118.407)",34.1458,-118.407
71054,0003189452-0001-4,TRETO'S INC,,920 E 8TH STREET,LOS ANGELES,90021-1806,920 8TH 90021-1806,POST OFFICE BOX #3039,CHINO HILLS,91709-0102,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,01/15/2019,,"(34.0358, -118.2464)",34.0358,-118.2464
71535,0002457273-0001-8,SALOMON MORENO SANCHEZ,SALO'S MINI MARKET,4225 HOOPER AVENUE,LOS ANGELES,90011-3223,4225 HOOPER 90011-3223,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,08/01/2009,,"(34.0071, -118.2521)",34.0071,-118.2521
71859,0000008207-0020-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #22525,3150 WILSHIRE BLVD,LOS ANGELES,90010-1204,3150 WILSHIRE 90010-1204,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,05/05/2014,,"(34.0617, -118.2905)",34.0617,-118.2905
72095,0002653899-0001-3,LASHCO BROTHERS LLC,MRS FIELDS  COOKIES,9301 TAMPA AVENUE #185,NORTHRIDGE,91324-2591,9301 TAMPA 91324-2591,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,01/05/2013,,"(34.2391, -118.5535)",34.2391,-118.5535
72469,0002614059-0001-5,MI HYUN SO,,915 1/2 S VERMONT AVENUE,LOS ANGELES,90006-1609,915 VERMONT 90006-1609,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,03/30/2012,,"(34.0554, -118.2916)",34.0554,-118.2916
73007,0003211672-0001-1,CONVOCATION COFFEE,,23700   CLARENDON STREET,WOODLAND HILLS,91367-5816,23700 CLARENDON 91367,23700   CLARENDON STREET,WOODLAND HILLS,91367-5816,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,08/01/2020,,"(34.1686, -118.6434)",34.1686,-118.6434
73222,0002489058-0004-5,CG YOGURT LLC,YOGURTLAND,4954 VAN NUYS BLVD #101,SHERMAN OAKS,91403-6801,4954 VAN NUYS 91403-6801,7755 HASKELL AVENUE,VAN NUYS,91406-1906,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,08/25/2011,,"(34.1603, -118.4487)",34.1603,-118.4487
73295,0002553501-0001-4,LAURA ANN'S JAMS,LAURA ANN'S JAMS,710   RECORD AVENUE,LOS ANGELES,90063-1752,710 RECORD 90063-1752,710   RECORD AVENUE,LOS ANGELES,90063-1752,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,04/01/2009,,"(34.0446, -118.1821)",34.0446,-118.1821
73606,0002266029-0001-9,WANDEE BUNLUENUCHALEE,DONUT KING,10400 VENICE BLVD,CULVER CITY,90232-3337,10400 VENICE 90232-3337,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,07/01/2007,,"(34.0203, -118.4038)",34.0203,-118.4038
73628,0002699039-0001-5,MARIA DENO CHENOS,ORIGINAL QUEENS BURGERS,6705 FOOTHILL BLVD,TUJUNGA,91042-2708,6705 FOOTHILL 91042-2708,1616 CAMINO DE VILLAS,BURBANK,91501-1108,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,08/28/2013,,"(34.2471, -118.2779)",34.2471,-118.2779
73857,0000008207-0030-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #20895,12106 BURBANK BLVD,VALLEY VILLAGE,91607-1709,12106 BURBANK 91607-1709,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,03/15/2015,,"(34.1721, -118.3966)",34.1721,-118.3966
74752,0002680901-0001-0,MOJAVE FOOD CORP,,6200 E SLAUSON AVENUE,COMMERCE,90040-3012,6200 SLAUSON 90040-3012,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/01/2005,,"(33.9843, -118.1492)",33.9843,-118.1492
74760,0003213312-0001-9,LOCO NUTZ,,3930   KENTUCKY DRIVE   APT #2,LOS ANGELES,90068-1240,3930 KENTUCKY 90068,3930   KENTUCKY DRIVE   APT #2,LOS ANGELES,90068-1240,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,10/05/2019,,"(34.1361, -118.3634)",34.1361,-118.3634
74807,0002855388-0001-0,BISCOTTI DI VECCHIO INC,,230 W AVENUE 26,LOS ANGELES,90031-1812,230 AVENUE 26 90031-1812,1049 HAVENHURST DRIVE SUITE #400,WEST HOLLYWOOD,90046-6002,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,08/12/2015,,"(34.0792, -118.2179)",34.0792,-118.2179
75095,0003153251-0001-1,B I O B LLC,,1001 S BROADWAY     #D,LOS ANGELES,90015-4034,1001 BROADWAY 90015-4034,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,10/04/2019,,"(34.0408, -118.2579)",34.0408,-118.2579
75272,0002816868-0002-3,AROMAS THE ESSENCE OF COFFE & TEA INC,,13652 CANTARA STREET,PANORAMA CITY,91402-5423,13652 CANTARA 91402-5423,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,11/01/2014,,"(34.2198, -118.4305)",34.2198,-118.4305
75855,0002349019-0001-0,PUES INC,CAFE DE LECHE,5000 YORK BLVD,LOS ANGELES,90042-1714,5000 YORK 90042-1714,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,06/06/2008,,"(34.1214, -118.2068)",34.1214,-118.2068
75926,0003210684-0001-6,JOZEFINA KACZMAREK,FIREYFINAS HOT SAUCE,15136   STAGG STREET,VAN NUYS,91405-1025,15136 STAGG 91405,2345   ORANGE COVE AVENUE,LA CRESCENTA,91214-3042,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,09/07/2020,,"(34.2119, -118.4631)",34.2119,-118.4631
76233,0002911474-0001-7,TEARIOT LLC,,2207   BRENTA PLACE,VENICE,90291-3900,2207 BRENTA 90291-3900,623   VERNON AVENUE,VENICE,90291-2736,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,03/04/2016,,"(33.9938, -118.4545)",33.9938,-118.4545
77159,0002735247-0001-4,RENEW JUICERY LLC,RENEW JUICERY,734 LINCOLN BLVD,VENICE,90291-2802,734 LINCOLN 90291-2802,1535   D STREET,NAPA,94559-1627,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,03/04/2014,,"(33.9994, -118.4639)",33.9994,-118.4639
77482,0003150603-0001-2,FABIOLA DE LA HUERTA,GYM & JUICE,2999   GLENDALE BLVD,LOS ANGELES,90039-1801,2999 GLENDALE 90039-1801,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,09/21/2019,,"(34.115, -118.2647)",34.115,-118.2647
78382,0002648853-0002-0,"CHEECH'S PIZZA, INC.",CHEECH'S PIZZA,2116 HILLHURST AVENUE,LOS ANGELES,90027-2004,2116 HILLHURST 90027-2004,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,04/30/2014,,"(34.1104, -118.2874)",34.1104,-118.2874
78605,0002819348-0001-9,GUILLERMO RAYON RAMIREZ,IVAN'S TORTILLA DISTRIBUTOR,946 BURGER AVENUE,LOS ANGELES,90022-2901,946 BURGER 90022-2901,4650 DOZIER AVENUE,LOS ANGELES,90022-1222,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,03/01/2015,,"(34.0222, -118.1722)",34.0222,-118.1722
79634,0002724332-0015-2,BLUE BOTTLE COFFEE INC,,3501 W 6TH STREET SUITE #555,LOS ANGELES,90020-2811,3501 6TH 90020-2811,476 9TH STREET,OAKLAND,94607-4048,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,10/24/2020,,"(34.0637, -118.2983)",34.0637,-118.2983
80032,0003151922-0001-7,DREAM POPS,DREAM POPS LLC,6130   AVALON BLVD,LOS ANGELES,90003-1633,6130 AVALON 90003,1880   CENTURY PARKS  E BUILDING #200,LOS ANGELES,90067-1602,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,09/13/2016,,"(33.9835, -118.2642)",33.9835,-118.2642
80326,0003211865-0001-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #57613,11401   SANTA MONICA BLVD,LOS ANGELES,90025-3009,11401 SANTA MONICA 90025,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,09/30/2020,,"(34.0458, -118.4512)",34.0458,-118.4512
80594,0003098594-0001-0,KEVIN MOORE,,26500   AGOURA ROAD   SUITE #102-828,CALABASAS,91302-3571,26500 AGOURA 91302-3571,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/01/2019,,"(34.1435, -118.6994)",34.1435,-118.6994
80636,0000363709-0002-1,CARLOS A MIER,MIER'S ICE CREAM,7816 CLYBOURN AVENUE,SUN VALLEY,91352-4626,7816 CLYBOURN 91352-4626,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,06/01/2006,,"(34.2125, -118.3638)",34.2125,-118.3638
80659,0002706061-0001-6,DAVID SARUKHANYAN,DIAMOND WATER,10804 VINEDALE STREET,SUN VALLEY,91352-2845,10804 VINEDALE 91352-2845,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,11/01/2013,,"(34.2287, -118.3655)",34.2287,-118.3655
80709,0003382086-0001-1,RAYMUNDO CAMACHO,,2205 E 105TH STREET,LOS ANGELES,90002-3824,2205 105th 90002-3824,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",15,06/25/2023,,"(33.9408, -118.2325)",33.9408,-118.2325
80795,0003033329-0001-6,JOHN REYNOSO,,790 CERES AVENUE,LOS ANGELES,90021-0021,790 CERES 90021-0021,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,02/14/2018,,"(34.0356, -118.245)",34.0356,-118.245
80949,0002367161-0001-8,"HOJAS PREMIUM TEA HOUSE, LLC","HOJAS PREMIUM TEA,COFFEE & CAFE",1201 N AVALON BLVD   SUITE #B,WILMINGTON,90744-2601,1201 AVALON 90744-2601,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",15,08/06/2008,,"(33.787, -118.2634)",33.787,-118.2634
81906,0003250491-0001-5,ATABEY COFFEE ROASTERS,,3450   SAWTELLE BLVD   APT #341,LOS ANGELES,90066-2170,3450 SAWTELLE 90066,3450   SAWTELLE BLVD   APT #341,LOS ANGELES,90066-2170,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,04/19/2021,,"(34.0179, -118.424)",34.0179,-118.424
82013,0000085217-0002-6,NICOLAS G PINEDA,GALINDO MINI MARKET,6720 S CENTRAL AVENUE,LOS ANGELES,90001-1644,6720 CENTRAL 90001-1644,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,11/29/2009,,"(33.979, -118.2564)",33.979,-118.2564
82126,0002572842-0001-3,NYSO INC,NESMON,13333 VENTURA BLVD SUITE #100,SHERMAN OAKS,91423-6220,13333 VENTURA 91423-6220,13351 D RIVERSIDE DRIVE UNIT #342,SHERMAN OAKS,91423-2508,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,08/08/2011,,"(34.1467, -118.4236)",34.1467,-118.4236
82597,0002704612-0001-7,KARLOS ZOHRABYAN,KZ DISTRIBUTION,809 E CHESTNUT STREET #5,GLENDALE,91205-4230,809 CHESTNUT 91205-4230,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,08/07/2013,,"(34.1399, -118.245)",34.1399,-118.245
83268,0002584023-0001-6,SATURNINO THOMAS DAVILA / MARTIN GALICIA,THE TOWN CAFE,8722 SUNLAND BLVD,SUN VALLEY,91352-2838,8722 SUNLAND 91352-2838,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,11/01/2011,,"(34.2277, -118.3661)",34.2277,-118.3661
84038,0002742957-0004-4,FC JUICE PARTNERS CALIFORNIA LLC,JAMBA JUICE #10,14622 VENTURA BLVD SUITE #106,SHERMAN OAKS,91403-3662,14622 VENTURA 91403-3662,650 S MAIN STREET,LAS VEGAS,89101-6421,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,04/01/2014,,"(34.1514, -118.4519)",34.1514,-118.4519
84293,0002773721-0001-1,BLODE KUH LLC,BLODE KUH,26961  1/2 TANNAHILL AVENUE,SANTA CLARITA,91387-3946,26961 TANNAHILL 91387-3946,26961 1/2   TANNAHILL AVENUE,SANTA CLARITA,91387-3924,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,09/09/2014,,"(34.399, -118.4196)",34.399,-118.4196
84788,0000008207-0039-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #26338,1401 S ALAMEDA STREET,LOS ANGELES,90021-2425,1401 ALAMEDA 90021-2425,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,05/14/2016,,"(34.0253, -118.2395)",34.0253,-118.2395
85331,0002566407-0001-1,BOBA BEAR LLC,,414 S WESTERN AVENUE #C,LOS ANGELES,90020-4191,414 WESTERN 90020-4191,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,10/01/2010,,"(34.0668, -118.3091)",34.0668,-118.3091
86378,0002700083-0001-9,BRIZA SERVICES INC,PARADICE ITALIAN ICE,855 E EASY STREET SUITE #101,SIMI VALLEY,93065-1825,855 EASY 93065-1825,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,05/28/2013,,"(34.2736, -118.7818)",34.2736,-118.7818
86399,0003087082-0001-2,WILBERT KELLEY JR,HSTUDIOSLA,4905 S WESTERN AVENUE,LOS ANGELES,90062-2327,4905 WESTERN 90062-2327,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",8,11/30/2018,,"(33.9989, -118.309)",33.9989,-118.309
86801,0002569703-0013-3,NAGATANIEN RS FOODS LLC,,2725 HYPERION AVENUE,LOS ANGELES,90027-3001,2725 HYPERION 90027-3001,825 BALDWIN PARK BLVD,CITY OF INDUSTRY,91746-1205,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,07/11/2011,,"(34.107, -118.2722)",34.107,-118.2722
87430,0003203482-0002-4,THE HUB FOOD MANAGEMENT INC,PITA INN,9525   COZYCROFT AVENUE   SUITE #G,CHATSWORTH,91311-0706,9525 COZYCROFT  91311-5120,21151 S WESTERN AVENUE   SUITE #284,TORRANCE,90501-1724,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,04/29/2021,,"(34.2435, -118.5826)",34.2435,-118.5826
88378,0002992317-0001-9,"MOODFIX WELLNESS, INC.",SA MEDIA SERVICES,4311   COLFAX AVENUE,STUDIO CITY,91604-2834,4311 COLFAX 91604-2834,4311   COLFAX AVENUE   UNIT #225,STUDIO CITY,91604-2843,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,05/23/2017,,"(34.1478, -118.3883)",34.1478,-118.3883
